,State,Arrest_Number,Border,Total_Population,Hispanic_Population,Percent_Hispanic
0,AK,10,Y,736855,50162,6.8075808673348215
1,AL,1173,N,4841164,199686,4.124751815885601
2,AR,859,N,2968472,214544,7.227422054174673
3,AZ,10568,Y,6728577,2144775,31.87561054885751
4,CA,24843,Y,38654206,15280776,39.53198779972353
5,CO,2434,N,5359295,1181218,22.04054824375221
6,CT,418,N,3588570,562347,15.67050384972287
7,DE,195,N,934695,87152,9.324111073665742
8,FL,4820,N,19934451,5126578,25.717176760975256
9,GA,5276,N,10099320,962334,9.528700942241656
10,HI,108,N,1413673,148150,10.479792710195357
11,IA,597,N,3106589,179062,5.763942381821348
12,ID,562,Y,1635483,207248,12.67197519020375
13,IL,2379,N,12851684,2178790,16.953342456910704
14,IN,1181,N,6589578,448079,6.7998132809111596
15,KS,958,N,2898292,336909,11.62439809377385
16,KY,873,N,4411989,151920,3.443344940343233
17,LA,1047,N,4645670,231168,4.975988393493296
18,MA,1173,N,6742143,779696,11.56451294491974
19,MD,867,N,5959902,586730,9.844624961954072
20,ME,13,Y,1329923,20714,1.5575337820309898
21,MI,1233,Y,9909600,491430,4.959130540082344
22,MN,964,Y,5450868,288460,5.292001200542739
23,MO,698,N,6059651,243567,4.019488911160065
24,MS,1256,N,2989192,86733,2.901553329461607
25,MT,30,Y,1023391,36626,3.578886271229667
26,NC,2875,N,9940828,931110,9.366523593406907
27,ND,83,Y,736162,24744,3.3612166887179726
28,NH,114,Y,1327503,47271,3.5608959075798694
29,NJ,1154,N,8915456,1786669,20.040130308533854
30,NM,4508,Y,2082669,1009876,48.48951033505564
31,NV,1587,N,2839172,836626,29.46725312872908
32,NY,2955,Y,19697457,3747614,19.025877299795603
33,OH,1320,N,11586941,420081,3.6254693969702614
34,OK,1406,N,3875589,403936,10.422570607977265
35,OR,905,N,3982267,522568,13.12237476793997
36,PA,1891,N,12783977,900002,7.04007837310721
37,PR,50,N,3529385,3365841,95.36621819382131
38,RI,96,N,1054491,157352,14.922080890211486
39,SC,1590,N,4834605,272791,5.642467171568308
40,SD,155,N,851058,29901,3.513391566732232
41,TN,1820,N,6548009,347442,5.30607089880298
42,TX,54588,Y,26956435,10883279,40.37358426661389
43,UT,1564,N,2948427,420440,14.259807008957658
44,VA,2528,N,8310301,760611,9.15262876759819
45,VT,22,Y,626249,11183,1.7857114342697555
46,WA,1984,Y,7073146,906451,12.81538653379981
47,WI,611,N,5754798,387015,6.725084008161537
48,WV,259,N,1846092,27021,1.4636865334988722
49,WY,175,N,583029,56681,9.721814866841958
