,State,TOTPOP,NONCITZ
0,Alabama,6259,340.0
1,Arizona,10716,256.0
2,Arkansas,3175,88.0
3,California,73514,1384.0
4,Colorado,8833,327.0
5,DC,1849,53.0
6,Florida,47176,903.0
7,Georgia,25741,544.0
8,Idaho,3788,104.0
9,Illinois,15134,331.0
10,Indiana,9111,121.0
11,Iowa,2040,85.0
12,Kansas,3288,44.0
13,Kentucky,12910,224.0
14,Louisiana,21769,98.0
15,Maine,395,4.0
16,Maryland,9708,299.0
17,Massachusetts,10486,417.0
18,Michigan,10632,239.0
19,Minnesota,4015,163.0
20,Mississippi,7133,51.0
21,Missouri,4546,59.0
22,Montana,971,4.0
23,Nebraska,1359,95.0
24,Nevada,6817,263.0
25,New Hampshire,1502,95.0
26,New Jersey,14303,626.0
27,New Mexico,2380,304.0
28,New York,16673,381.0
29,North Carolina,8508,277.0
30,North Dakota,912,10.0
31,Ohio,11239,207.0
32,Oklahoma,6148,139.0
33,Oregon,1652,82.0
34,Pennsylvania,31666,522.0
35,South Carolina,8154,250.0
36,South Dakota,1146,15.0
37,Tennesee,18584,304.0
38,Texas,49766,1546.0
39,Utah,4921,196.0
40,Virginia,23611,536.0
41,Washington,7143,332.0
42,West Virginia,4206,18.0
43,Wisconsin,7842,159.0
44,Wyoming,517,4.0
