GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino:,Margin of Error; Total: - Hispanic or Latino:
0400000US01,01,Alabama,4863300,*****,4663614,1768,199686,1768
0400000US04,04,Arizona,6931071,*****,4786296,*****,2144775,*****
0400000US05,05,Arkansas,2988248,*****,2773704,1157,214544,1157
0400000US06,06,California,39250017,*****,23969241,*****,15280776,*****
0400000US08,08,Colorado,5540545,*****,4359327,*****,1181218,*****
0400000US09,09,Connecticut,3576452,*****,3014105,*****,562347,*****
0400000US10,10,Delaware,952065,*****,864913,*****,87152,*****
0400000US11,11,District of Columbia,681170,*****,606748,*****,74422,*****
0400000US12,12,Florida,20612439,*****,15485861,555,5126578,555
0400000US13,13,Georgia,10310371,*****,9348037,2954,962334,2954
0400000US15,15,Hawaii,1428557,*****,1280407,*****,148150,*****
0400000US16,16,Idaho,1683140,*****,1475892,280,207248,280
0400000US17,17,Illinois,12801539,*****,10622749,1616,2178790,1616
0400000US18,18,Indiana,6633053,*****,6184974,1492,448079,1492
0400000US19,19,Iowa,3134693,*****,2955631,1082,179062,1082
0400000US20,20,Kansas,2907289,*****,2570380,914,336909,914
0400000US21,21,Kentucky,4436974,*****,4285054,2234,151920,2234
0400000US22,22,Louisiana,4681666,*****,4450498,2152,231168,2152
0400000US23,23,Maine,1331479,*****,1310765,785,20714,785
0400000US24,24,Maryland,6016447,*****,5429717,252,586730,252
0400000US25,25,Massachusetts,6811779,*****,6032083,1053,779696,1053
0400000US26,26,Michigan,9928300,*****,9436870,741,491430,741
0400000US27,27,Minnesota,5519952,*****,5231492,788,288460,788
0400000US28,28,Mississippi,2988726,*****,2901993,2997,86733,2997
0400000US29,29,Missouri,6093000,*****,5849433,1739,243567,1739
0400000US31,31,Nebraska,1907116,*****,1704667,391,202449,391
0400000US32,32,Nevada,2940058,*****,2103432,*****,836626,*****
0400000US33,33,New Hampshire,1334795,*****,1287524,886,47271,886
0400000US34,34,New Jersey,8944469,*****,7157800,*****,1786669,*****
0400000US35,35,New Mexico,2081015,*****,1071139,*****,1009876,*****
0400000US36,36,New York,19745289,*****,15997675,416,3747614,416
0400000US37,37,North Carolina,10146788,*****,9215678,1223,931110,1223
0400000US39,39,Ohio,11614373,*****,11194292,1636,420081,1636
0400000US40,40,Oklahoma,3923561,*****,3519625,*****,403936,*****
0400000US41,41,Oregon,4093465,*****,3570897,*****,522568,*****
0400000US42,42,Pennsylvania,12784227,*****,11884225,1330,900002,1330
0400000US44,44,Rhode Island,1056426,*****,899074,*****,157352,*****
0400000US45,45,South Carolina,4961119,*****,4688328,3468,272791,3468
0400000US47,47,Tennessee,6651194,*****,6303752,2164,347442,2164
0400000US48,48,Texas,27862596,*****,16979317,217,10883279,217
0400000US49,49,Utah,3051217,*****,2630777,*****,420440,*****
0400000US51,51,Virginia,8411808,*****,7651197,3151,760611,3151
0400000US53,53,Washington,7288000,*****,6381549,882,906451,882
0400000US55,55,Wisconsin,5778709,*****,5391694,573,387015,573
0400000US72,72,Puerto Rico,3411307,*****,45466,5205,3365841,5205
